City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Cape Town,ZA,2022-07-05 19:28:03,-33.9258,18.4232,55.9,89,0,1.99
67,Doraha,IN,2022-07-05 19:28:04,30.8167,76.0167,93.74,50,77,10.11
68,College,US,2022-07-05 19:28:04,64.8569,-147.8028,70.09,71,75,0.0
69,Qaanaaq,GL,2022-07-05 19:28:05,77.484,-69.3632,46.58,50,88,2.24
70,Gobabis,NA,2022-07-05 19:28:05,-22.45,18.9667,57.43,40,0,3.15
71,Clyde River,CA,2022-07-05 19:28:06,70.4692,-68.5914,43.03,81,0,6.91
72,Kapaa,US,2022-07-05 19:28:06,22.0752,-159.319,82.38,70,100,16.11
73,Carnarvon,AU,2022-07-05 19:28:06,-24.8667,113.6333,64.02,48,0,9.69
74,Boca Do Acre,BR,2022-07-05 19:28:07,-8.7522,-67.3978,85.19,56,100,1.59
75,Norman Wells,CA,2022-07-05 19:28:07,65.282,-126.8329,77.04,38,40,9.22
76,Ribeira Grande,PT,2022-07-05 19:28:09,38.5167,-28.7,70.2,68,75,8.05
77,Busselton,AU,2022-07-05 19:28:09,-33.65,115.3333,53.55,62,100,10.49
78,Angul,IN,2022-07-05 19:28:10,20.85,85.1,80.76,85,100,2.46
79,San Patricio,US,2022-07-05 19:28:10,28.017,-97.5169,99.16,43,99,17.69
80,Hobart,AU,2022-07-05 19:28:10,-42.8794,147.3294,45.27,93,75,6.91
81,Saskylakh,RU,2022-07-05 19:28:11,71.9167,114.0833,47.23,94,99,5.08
82,Dormidontovka,RU,2022-07-05 19:28:11,47.7702,134.9076,67.82,93,7,3.22
83,Cabedelo,BR,2022-07-05 19:28:11,-6.9811,-34.8339,81.27,75,11,14.05
84,Santa Cruz De Tenerife,ES,2022-07-05 19:28:12,28.4682,-16.2546,74.59,83,40,17.27
85,Severo-Kurilsk,RU,2022-07-05 19:23:43,50.6789,156.125,51.13,77,4,8.05
86,Vao,NC,2022-07-05 19:28:13,-22.6667,167.4833,73.92,73,100,15.61
87,Kon Tum,VN,2022-07-05 19:28:13,14.35,108.0,71.02,98,100,0.83
